;cod_loja;faturamento
0;10;23116.276344101454
1;13;24213.406403705816
2;16;24282.11922246269
3;21;34404.705445690844
4;28;25137.52573462671
5;41;25587.425046245862
6;55;22771.743767551125
7;64;27416.47148892598
8;73;32721.79308815137
9;75;24689.708736604684
10;82;26134.889814163602
11;84;27268.675353370887
12;87;20165.672121618878
13;99;26335.54773437439
14;103;20618.556951454502
15;106;28887.805394895895
16;117;24554.175388023326
17;119;19964.11646534439
18;127;28662.602609411944
19;129;28662.877985056388
20;132;32887.94746645458
21;178;34063.6221933577
22;200;29008.53397609643
23;201;25075.388528281634
24;202;24543.109021813543
25;203;25488.46358278099
26;206;25846.271482188433
27;213;26642.956539025246
28;215;29152.94046088394
29;220;26642.956539025246
30;232;26452.1591142171
31;234;26183.181506093224
32;235;25470.929989285007
33;240;33320.90651886226
34;241;26569.52404686142
35;242;29136.44164560296
36;254;23247.744779849745
37;255;28528.515524907354
38;261;24087.819556907965
39;262;24620.45477239245
40;272;26569.52404686142
41;278;28562.063266585214
42;285;29753.645194873727
43;300;25488.46358278099
44;302;27522.056367321704
45;303;25425.872270381322
46;308;24030.873073653398
47;315;23227.06205137629
48;323;24794.4305941013
49;327;25488.46358278099
50;333;24489.407001960575
51;334;29098.11441975188
52;339;29097.839044107437
53;344;24187.240620606983
54;353;17426.32377515467
55;355;29097.839044107437
56;375;28662.877985056388
57;381;30637.294003188577
58;384;24094.972664702665
59;394;24429.200723552894
60;420;24571.10654359257
61;427;24728.15120973218
62;448;24375.23598768211
63;450;30351.764373608326
64;452;26600.932433515558
65;461;24021.54017253884
66;476;23696.65598675071
67;480;24131.887910311394
68;486;24021.54017253884
69;501;23884.225978710085
70;514;22726.343007997846
71;520;23884.225978710085
72;522;22533.395378063455
73;526;33239.964667350796
74;540;27285.342735302773
75;543;25251.90979350149
76;545;24182.09733986855
77;556;26258.71658324502
78;560;26520.563668575964
79;561;26300.54643873755
80;566;24644.7285151697
81;572;26227.113946573725
82;575;31882.996129984153
83;588;23884.225978710085
84;592;26569.52404686142
85;596;18690.618679850642
86;601;23884.225978710085
87;603;37949.64823836438
88;610;29151.303300815583
89;618;26894.62903674389
90;620;23679.130072251148
91;636;25075.388528281634
92;637;24021.54017253884
93;641;26258.522333227862
94;645;26673.185319986256
95;646;25320.262511637877
96;652;27034.167977530247
97;653;27150.19300860774
98;678;26569.52404686142
99;680;24766.10109850062
100;683;23884.225978710085
101;685;27690.220806664416
102;715;25195.531911228536
103;730;24641.58351240532
104;733;28627.528918001408
105;750;35500.438444081214
106;756;29032.854192639425
107;758;29097.839044107437
108;771;30779.790961676707
109;777;24884.975026085147
110;791;26569.52404686142
111;812;24517.404523739595
112;813;25253.63331742196
113;820;26461.042267299254
114;841;23810.79348654626
115;857;27690.991364922145
116;861;25260.786425216662
117;866;23927.623006229656
118;867;27328.48750792474
119;868;26335.22128749951
120;875;28937.836793635463
121;876;24021.54017253884
122;885;23087.682046119226
123;903;34558.80024305432
124;907;32954.27704220175
125;914;23864.88079618169
126;929;23935.691095711514
127;936;23243.49524566062
128;938;24230.412521105143
129;944;25086.36877384739
130;950;28920.026685646048
131;952;24464.76831927345
132;953;23161.447143178848
133;967;24405.636510285767
134;974;26038.243186145624
135;975;26275.41754484492
136;1007;25556.58570482198
137;1008;27948.62542576009
138;1013;25407.933715645635
139;1025;22536.266133912857
140;1027;22799.814483369566
141;1034;26335.22128749951
142;1036;24459.173601608305
143;1039;26569.52404686142
144;1059;24462.13468878719
145;1065;23389.27786129217
146;1069;30935.003691564707
147;1073;29389.39910436328
148;1082;26590.359547795306
149;1089;23468.383386258567
150;1093;24867.863086265126
151;1094;23685.70150267652
152;1099;26335.22128749951
153;1106;22928.722664561337
